"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" To be, or not to be: that is the question:";"provisional";"John Whitgift";"An Answer to a Certain Libel";"Whitgift, John.  <i>An ansvvere to a certen Libel intituled, An Admonition to the Parliament. </i>London: Henry Bynneman for Humfrey Toy, 1572.  Cc2 recto [normalized spelling].";"1572";"1573";"1572";"1573";"English";"[...] you should rather have proved, that women may not in time of necessity administer baptism, for <span class=""quote"">that is the question </span>and not the other.";"";"";"@005097 An Answer to a Certain Libel";"";"WoPh#030068 that is the question";"Work unmarked";"Author unmarked";"Devotional text or pamphlet";"Politics, law, economics / Philosophy, religion";"Narrator";"BODY OF TEXT";"Local reference";"Shakespeare Studies";"@010005
Greenfield, Sayre.  ""Quoting Hamlet in the Early Seventeenth Century."" Modern Philology 105.3 (2008): 510-534.";"[...] you should rather haue proued, that women may not in time of necessitie administer baptisme, for <span class=""quote"">that is the question </span>and not the other.";"Whitgift, John.  <i>An ansvvere to a certen Libel intituled, An Admonition to the Parliament. </i>London: Henry Bynneman for Humfrey Toy, 1572.  Cc2 recto.";"   Hohl-Trillini Regula"
" To be, or not to be: that is the question:";"provisional";"Ralph Lever";"The Art of Reason";"Lever, Ralph.  <i>The arte of reason, rightly termed, witcraft teaching a perfect way to argue and dispute. Made by Raphe Leuer. Seene and allowed according to the order appointed in the Queenes Maiesties iniunctions. </i>London: H. Bynneman, 1573.  76.";"1573";"1573";"1573";"1573";"English";"[...] <span class=""quote"">to be or not to be</span> [...].";"";"";"@005098 The Art of Reason";"";"WoSn#030065 to be or not to be";"Work unmarked";"Author unmarked";"Other nonfiction";"Philosophy, religion";"Narrator";"BODY OF TEXT";"Local reference";"Literary Studies";"@010079/@006323-Last accessed 10 March 2020.
Stallybrass, Peter. ""Against Thinking."" PMLA 122.5 (2007): 1580-1587.";"";"";"   Hohl-Trillini Regula"
" Whether 'tis nobler in the mind to suffer";"provisional";"Thomas Rogers";"A Philosophical Discourse";"Rogers, Thomas. <i> A Philosophicall Discourse [...]. </i>London: Andrew Maunsell, 1576.  32 verso-33 recto.";"1576";"1576";"1576";"1576";"English";"[...] <span class=""quote"">with a quiet mind to suffer</span> [...].";"";"";"@005101 A Philosophical Discourse";"";"WoPh#030066 mind to suffer";"Work unmarked";"Author unmarked";"Other nonfiction";"Philosophy, religion";"Narrator";"BODY OF TEXT";"Local reference";"Literary Studies";"@010079/@006323-Last accessed 10 March 2020.
Stallybrass, Peter. ""Against Thinking."" PMLA 122.5 (2007): 1580-1587.";"";"";"   Hohl-Trillini Regula"
" Thou know'st 'tis common; all that lives must die,";"provisional";"Thomas Proctor";"A Gorgeous Gallery of Gallant Inventions";"Proctor, Thomas. <i>A gorgious gallery, of gallant inuentions. Garnished and decked with diuers dayntie deuises, right delicate and delightfull, to recreate eche modest minde withall. First framed and fashioned in sundrie formes, by diuers worthy workemen of late dayes: and now, ioyned together and builded vp [...]. </i>London: Richard Jones, 1578.  N2 recto [normalized spelling].";"1578";"1578";"1578";"1578";"English";"<span class=""quote"">Respice finem.</span><br>
Lo here the state of every mortal wight,<br>
See here, the fine, of all their gallant joys:<br>
[...] Your world is vain, no trust in earth you find,<br>
Your valyaunst prime, is but a brittle glass:<br>
Your pleasures fade, your thoughts a puff of wind,<br>
Your ancient years, are but a withered grass.<br>
<span class=""quote"">Mors omnibus communis.</span>";"";"";"@005102 A Gorgeous Gallery of Gallant Inventions";"";"SuId#030149 all that lives must die / WoPh#006937 respice finem";"Work unmarked";"Author unmarked";"Anthology";"";"";"ANTHOLOGY ENTRY";"MQ_GENRE / MQ_ANOMALY_Languageswitch / MQ_VERBAL_Generalization";"Fulltext database / morethanonelexia";"@010048
EEBO";"Respice finem.<br>
LO here the state of euery mortall wight,<br>
See here, the fine, of all their gallant ioyes:<br>
[...] Your world is vayne, no trust in earth you finde,<br>
Your valyaunst prime, is but a brytle glasse:<br>
Your pleasures vade, your thoughts a puffe of winde,<br>
Your auncient yeres, are but a withered grasse.<br>
<span class=""quote"">Mors omnibus communis.</span>";"Proctor, Thomas.  A gorgious gallery, of gallant inuentions. Garnished and decked with diuers dayntie deuises, right delicate and delightfull, to recreate eche modest minde withall. First framed and fashioned in sundrie formes, by diuers worthy workemen of late dayes: and now, ioyned together and builded vp [...]. London: Richard Jones, 1578.  N2 recto.";"   Hohl-Trillini Regula"
" For in that sleep of death what dreams may come";"provisional";"Henry Bull";"Christian Prayers and Holy Meditations";"Bull, Henry.  <i>Christian Praiers and Holie Meditations. </i>London: Henry Middleton, 1578.  182-183.";"1578";"1578";"1578";"1578";"English";"[...] <span class=""quote"">sleep of death</span> [...].";"";"";"@005103 Christian Prayers and Holy Meditations";"";"SuId_AbsDea#030069 death as sleep";"Work unmarked";"Author unmarked";"Devotional text or pamphlet";"Philosophy, religion";"Narrator";"BODY OF TEXT";"Local reference";"Literary Studies";"@010079/@006323-Last accessed 10 March 2020.
Stallybrass, Peter. ""Against Thinking."" PMLA 122.5 (2007): 1580-1587.";"";"";"   Hohl-Trillini Regula"
" Let them come in.";"unedited";"Christopher Marlowe";"Doctor Faustus (1604 Quarto)";"Marlowe, Christopher.  <i>The tragicall history of D. Faustus As it hath bene acted by the right honorable the Earle of Nottingham his seruants. Written by Ch. Marl. </i>London: V. Simmes for Thomas Bushell, 1604.  C1 recto [normalized spelling].";"1588";"1588";"1588";"1588";"English";"[Knight:] [...] <span class=""quote"">Bred in the concave of some monstrous rock </span>[...].";"";"#008000 BRITAIN_London";"@005439 Doctor Faustus (1604 Quarto)";"";"WoPh_NatLan#032045 monstrous rock";"Work unmarked";"Author unmarked";"Tragedy";"";"Dialogue";"BODY OF TEXT";"Local reference";"Literary Studies";"@010029-6.
Murphy, Donna N.  The Marlowe Shakespeare Continuum: Christopher Marlowe, Thomas Nashe, and Authorship of Early Shakespeare and Anonymous Plays. Newcastle, 2013.  6.";"[Knight:] […] Bred in the concaue of some monstrous rocke […].";"Marlowe, Christopher.  <i>The tragicall history of D. Faustus As it hath bene acted by the right honorable the Earle of Nottingham his seruants. Written by Ch. Marl. </i>London: V. Simmes for Thomas Bushell, 1604.  C1 recto.";"  Heeg Stefanie"
" Let them come in.";"unedited";"George Peele";"The Battle of Alcazar";"Peele, George.  ""The Battle of Alcazar."" Ed. Frank S. Hook. The Life and Works of George Peele. 3 vols. New Haven and Lonson: Yale University Press, 1961. 2:293-347.  315, line 537; act 2, scene 3 [normalized spelling]. ";"1588";"1588";"1588";"1588";"English";"[Muly Mahamet:] Hold thee <span class=""quote"">Callipolis Feed and faint no more </span><br>
This flesh I forced from a lioness, [...]<br>
<span class=""quote"">Feed then and faint not fair Callipolis,</span><br>
For rather than fierce famine shall prevail [...]<br>
And beat down fowl by sholes into thy lap<br>
<span class=""quote"">Feed then and faint not fair Callipolis</span>.<br>
[Calypolis:] Thanks good my Lord, and though my stomach be too queasy to digest such bloody meat [...]<br>
[Muly Mahamet:] [...] <span class=""quote"">Feed and be fat that we may meet the foe.</span>";"";"";"@000811_A89_D94 The Battle of Alcazar";"";"NaMa#032254 Callipolis feed fair";"Work unmarked";"Author unmarked";"Theatre";"";"Dialogue";"BODY OF TEXT";"";"Annotated edition / Literary Studies";"@010158-89./@006075-56./@006098:1:78.";"[Muly Mahamet:] Hold thee <span class=""quote"">Callipolis Feed and faint no more </span><br>
This flesh I forced from a lyonesse, [...]<br>
<span class=""quote"">Feede then and faint not fair Calypolis,</span><br>
For rather than fierce famine shall prevaile [...]<br>
And beate down fowle by sholes into thy lap<br>
<span class=""quote"">Feede then and faint not fair Calypolis</span>.<br>
[Calypolis:] Thankes good my Lord, and though my stomacke be too queasie to digest such bloudie meate [...]<br>
[Muly Mahamet:] [...] <span class=""quote"">Feede and be fat that we may meet the foe.</span>";"Peele, George.  ""The Battle of Alcazar."" Ed. Frank S. Hook. The Life and Works of George Peele. 3 vols. New Haven and Lonson: Yale University Press, 1961. 2:293-347.  315, line 537; act 2, scene 3.";"   Hohl-Trillini Regula"
" Let them come in.";"unedited";"George Peele";"The Troublesome Reign of King John, King of England";"Peele, George.  <i>The Troublesome Raigne of Iohn King of England, with the discouerie of King Richard Cordelions Base sonne (vulgarly named, The Bastard Fawconbridge): also the death of King Iohn at Swinstead Abbey. As it was (sundry times) publikely acted by the Queenes Maiesties Players, in the honourable Citie of London. </i>London: Sampson Clarke, 1591.  B4 recto [spelling normalized].";"1589";"1589";"1589";"1589";"English";"[Philip:] [...] I swear, <br>
As cursed <span class=""quote"">Nero</span> with his <span class=""quote"">mother </span>did, <br> 
So I with you, if you resolve me not. ";"";"#009013 Queen's Men / #008000 BRITAIN_London";"@000824_A91_D91 The Troublesome Reign of King John";"";"NaMa#230079 Nero killing his mother";"Work by character";"Author unmarked";"History play";"";"Dialogue";"BODY OF TEXT";"";"Shakespeare Studies";"@010051-47.
Voigt, Hermann.  Gleichnisse und Metaphern in Shakespeare's Dramen und in seinen Quellenschriften. PhD. Strassburg: Elsass-Lothringische Druckerei, 1908.  47.";"[Philip:] [...] I sweare, <br>
<span class=""quote"">As cursed Nero with his mother did, <br> </span>
So I with you, if you resolue me not. ";"Peele, George.  The Troublesome Raigne of Iohn King of England, with the discouerie of King Richard Cordelions Base sonne (vulgarly named, The Bastard Fawconbridge): also the death of King Iohn at Swinstead Abbey. As it was (sundry times) publikely acted by the Queenes Maiesties Players, in the honourable Citie of London. London: Sampson Clarke, 1591.  B4 recto.";"Reitzer Elliot"
" Let them come in.";"unedited";"_ Anonymous";"King Leir, or King Lear and His Three Daughters";"Anon.  ""King Leir, or King Lear and His Three Daughters."" A Digital Anthology of Early Modern English Drama, Folger Shakespeare Library. Eds. Meaghan Brown, Michael Poston and Elizabeth Williamson. http://emed.folger.edu. Last accessed 11 December 2019.  Lines 1244-1245.";"1589";"1589";"1589";"1589";"English";"[Cordella:] [...] <span class=""quote"">If so the stock be dried with disdain, <br> 
Withered and sere the branch must needs remain. </span>";"";"#009013 Queen's Men / #008000 BRITAIN_London";"@000838_A94_D05 King Leir, or King Lear and His Three Daughters";"";"SuMe#030201 withered plant";"Work unmarked";"Author unmarked";"History play";"";"Dialogue";"BODY OF TEXT";"Local reference";"Shakespeare Studies";"@010051-51.
Voigt, Hermann. Gleichnisse und Metaphern in Shakespeare's Dramen und in seinen Quellenschriften. PhD. Strassburg: Elsass-Lothringische Druckerei, 1908. 51.";"[Cordella:] [...] If so the stocke be dryed with disdayne, <br> 
Withered and sere the branch must needes remaine. ";"Anon.  The True Chronicle History of King Leir, and his three daughters, Gonorill, Ragan, and Cordella. As it hath bene diuers and sundry times lately acted. London: Simon Stafford for Iohn Wright, 1605.  E2 recto.";"Reitzer Elliot"
" Let them come in.";"unedited";"_ Anonymous";"The True Tragedy of Richard III";"Anon.  The True Tragedie of Richard the third. Wherein is showne the death of Edward the fourth, with the smothering of the two yoong Princes in the Tower: With a lamentable ende of Shores wife, an example for all wicked women. And lastly, the coniunction and ioyning of the two noble Houses, Lancaster and Yorke. As it was played by the Queenes Maiesties Players. London: Thomas Creede for William Barley, 1594.  H3 recto; act 5 [spelling normalized].";"1589";"1589";"1589";"1589";"English";"[King:] [...] <span class=""quote"">down is thy sun Richard, never to shine again </span>[...].";"";"#009013 Queen's Men / #008000 BRITAIN_London";"@000839_A94_D94 The True Tragedy of Richard III";"";"SuId_NatSky#030202 success as sun";"Work unmarked";"Author unmarked";"History play";"";"Dialogue";"BODY OF TEXT";"Local reference";"Shakespeare Studies";"@010051-65.
Voigt, Hermann.  Gleichnisse und Metaphern in Shakespeare's Dramen und in seinen Quellenschriften. PhD. Strassburg: Elsass-Lothringische Druckerei, 1908.  65.";"[King:] [...] downe is thy sunne Richard, neuer to shine againe [...].";"Anon.  The True Tragedie of Richard the third: Wherein is showne the death of Edward the fourth, with the smothering of the two yoong Princes in the Tower: With a lamentable ende of Shores wife, an example for all wicked women. And lastly, the coniunction and ioyning of the two noble Houses, Lancaster and Yorke. As it was played by the Queenes Maiesties Players. London: Thomas Creede for William Barley, 1594.  H3 recto; act 5.";"Reitzer Elliot"
